geo,election_year,election_date,vs_AGR,vs_CHR,vs_CON,vs_DIV,vs_ECO,vs_ETH,vs_LEF,vs_LIB,vs_NAT,vs_SIP,vs_SOC,fragmentation_enp,polarization_dalton
NL,2021,2021-03-17,1.0008680925336,12.87436490511427,0.0,0.0,5.15509574538715,0.0,9.24016766236343,36.8900086080087,18.173384789499078,6.92421805471285,7.7563127635315094,9.262755243755658,3.2253807807015646
PL,1993,1993-09-19,15.398,0.0,0.0,0.0,0.0,0.44,0.0,0.0,5.766,5.412,38.28,11.345433981422264,1.342911526656503
PL,1997,1997-09-21,7.306,33.827,0.0,0.0,0.0,0.39,0.0,18.922,0.0,0.0,31.875,4.616769720168983,1.9192238671903845
PL,2001,2001-09-23,19.175,7.875,0.0,0.0,0.0,0.363,0.0,12.683,9.501,0.0,41.04,4.582652735506835,2.8617471520629016
PL,2005,2005-09-25,18.374,7.969,0.0,0.0,0.0,0.292,0.0,24.137,26.987,0.0,11.311,5.948334385474721,0.6374770452763233
PL,2007,2007-10-21,8.906,0.0,0.0,0.0,0.0,0.201,0.0,41.512,32.111,0.0,13.152,3.325911223195827,0.6672758757594633
PL,2011,2011-10-09,8.362,0.0,0.0,0.0,0.0,0.195,0.0,49.197,29.89,0.0,8.242,3.750012049726219,1.9965710830356664
PL,2015,2015-10-25,5.131,0.0,0.0,0.0,0.0,0.181,0.0,31.689,46.384,0.0,7.546,4.523273872225028,2.5930887845807757
PL,2019,2019-10-13,0.0,8.546,0.0,0.0,0.0,0.174,0.0,27.3966458246597,50.398,0.0,12.5601343965662,3.4152361089423313,3.6990560411588023
PT,1995,1995-10-01,0.0,9.228,34.784,0.0,0.0,0.0,8.739,0.0,0.0,0.0,44.611,2.974779154195334,1.4913707173610342
PT,1999,1999-10-10,0.0,8.455,32.627,0.0,0.0,0.0,11.584,0.0,0.0,0.0,44.41,3.1276622035143875,1.8547334863625577
PT,2002,2002-03-17,0.0,8.896,41.014,0.0,1.167,0.0,8.628,0.0,0.0,0.0,38.551,3.0388999715004665,1.8690194612263087
